cars,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
https://bikroy.com/en/ad/honda-grace-dx-4grd-pearl-2020-for-sale-dhaka-5,"Tk 2,550,000",Honda,Grace,2020,Reconditioned,Automatic,"Hybrid, Octane","73,479 km"
https://bikroy.com/en/ad/toyota-fielder-all-pawer-2010-for-sale-dhaka-63,"Tk 1,535,000",Toyota,Fielder,2010,Used,Automatic,Octane,"76,352 km"
https://bikroy.com/en/ad/toyota-aqua-s-package-2019-for-sale-dhaka-1,"Tk 1,850,000",Toyota,Aqua,2019,Reconditioned,Automatic,Hybrid,"63,000 km"
https://bikroy.com/en/ad/honda-civic-ex-leather-2020-for-sale-dhaka-4,"Tk 4,030,000",Honda,Civic,2020,Reconditioned,Automatic,Petrol,"40,000 km"
https://bikroy.com/en/ad/toyota-noah-2012-for-sale-chattogram-division-3,"Tk 2,020,000",Toyota,Noah,2012,Used,Automatic,"Petrol, CNG, Octane","230,000 km"
https://bikroy.com/en/ad/honda-cr-v-2021-for-sale-dhaka-43,"Tk 5,650,000",Honda,CR-V,2021,Used,Automatic,Octane,"23,159 km"
https://bikroy.com/en/ad/honda-accord-2017-for-sale-dhaka,"Tk 3,200,000",Honda,Accord,2017,Used,Automatic,Octane,"34,500 km"
https://bikroy.com/en/ad/mercedes-benz-gls-class-2022-for-sale-dhaka-1,"Tk 27,500,000",Mercedes-Benz,GLS-Class,2022,Used,Automatic,Octane,"9,500 km"
https://bikroy.com/en/ad/toyota-camry-ws-leather-pkg-gr-ed-2021-for-sale-chattogram,"Tk 7,100,000",Toyota,Camry,2021,Used,Automatic,"Hybrid, Octane","40,000 km"
https://bikroy.com/en/ad/toyota-corolla-x-2004-for-sale-dhaka-6359,"Tk 1,225,000",Toyota,Corolla,2004,Used,Automatic,"Octane, LPG","91,000 km"
https://bikroy.com/en/ad/nissan-bluebird-selfie-2008-for-sale-dhaka,"Tk 1,280,000",Nissan,Bluebird,2008,Used,Automatic,Octane,"72,451 km"
https://bikroy.com/en/ad/toyota-axio-filder-2010-for-sale-dhaka-17,"Tk 1,450,000",Toyota,Axio,2010,Used,Automatic,"CNG, Octane","90,000 km"
https://bikroy.com/en/ad/toyota-c-hr-g-led-trd-bodykit-2020-for-sale-dhaka,"Tk 3,490,000",Toyota,C-HR,2020,Reconditioned,Automatic,"Hybrid, Octane","73,000 km"
https://bikroy.com/en/ad/toyota-auris-black-interior-2012-for-sale-dhaka,"Tk 1,650,000",Toyota,Auris,2012,Used,Automatic,Petrol,"50,000 km"
https://bikroy.com/en/ad/toyota-premio-fex-package-2017-for-sale-dhaka-207,"Tk 3,390,000",Toyota,Premio,2017,Used,Automatic,"Hybrid, Octane","50,040 km"
https://bikroy.com/en/ad/toyota-axio-ex-pkg-hv-2020-for-sale-dhaka,"Tk 2,360,000",Toyota,Axio,2020,Reconditioned,Automatic,"Petrol, Hybrid","79,000 km"
https://bikroy.com/en/ad/toyota-prado-tx-ltd-2012-for-sale-dhaka-9,"Tk 7,300,000",Toyota,Prado,2012,Used,Automatic,Octane,"43,300 km"
https://bikroy.com/en/ad/nissan-bluebird-2008-for-sale-dhaka-division,"Tk 1,050,000",Nissan,Bluebird,2008,Used,Automatic,"Petrol, CNG","291,856 km"
https://bikroy.com/en/ad/toyota-corolla-g-2022-for-sale-dhaka-1,"Tk 4,390,000",Toyota,Corolla,2022,Used,Automatic,Octane,"49,000 km"
https://bikroy.com/en/ad/nissan-350z-z33-pickup-2006-for-sale-dhaka,"Tk 550,000",Nissan,350Z Z33,2006,Used,Manual,Diesel,"215,000 km"
https://bikroy.com/en/ad/toyota-avanza-2011-for-sale-dhaka-division,"Tk 1,410,000",Toyota,Avanza,2011,Used,Automatic,"Petrol, LPG","134,250 km"
https://bikroy.com/en/ad/toyota-carina-all-auto-1989-for-sale-dhaka,"Tk 280,000",Toyota,Carina,1989,Used,Automatic,"CNG, Octane","150,000 km"
https://bikroy.com/en/ad/toyota-corolla-g-2006-for-sale-dhaka-885,"Tk 1,395,000",Toyota,Corolla,2006,Used,Automatic,"Octane, LPG","93,000 km"
https://bikroy.com/en/ad/toyota-allion-phyaamilii-bybhrt-2009-for-sale-dhaka,"Tk 1,875,000",Toyota,Allion,2009,Used,Automatic,"CNG, Octane","91,000 km"
https://bikroy.com/en/ad/toyota-noah-x-noha-japan-2011-for-sale-dhaka,"Tk 2,080,000",Toyota,Noah,2011,Used,Automatic,"CNG, Octane","98,156 km"
https://bikroy.com/en/ad/toyota-allion-a15-2005-for-sale-dhaka-1613,"Tk 1,485,000",Toyota,Allion,2005,Used,Automatic,"CNG, Octane","90,000 km"
https://bikroy.com/en/ad/toyota-allion-2004-for-sale-dhaka-3618,"Tk 1,390,000",Toyota,Allion,2004,Used,Automatic,"CNG, Octane","45,000 km"
https://bikroy.com/en/ad/honda-city-2021-for-sale-dhaka-2,"Tk 2,520,000",Honda,City,2021,Used,Automatic,"Hybrid, Octane","5,730 km"
https://bikroy.com/en/ad/toyota-fielder-wxb-2014-for-sale-dhaka-227,"Tk 2,200,000",Toyota,Fielder,2014,Used,Automatic,Octane,"72,000 km"
https://bikroy.com/en/ad/honda-grace-2015-ex-for-sale-dhaka,"Tk 1,550,000",Honda,Grace,2015,Used,Automatic,Hybrid,"72,294 km"
https://bikroy.com/en/ad/toyota-corolla-x-2000-for-sale-dhaka-160,"Tk 880,000",Toyota,Corolla,2000,Used,Automatic,"CNG, Octane","60,000 km"
https://bikroy.com/en/ad/honda-grace-2015-ex-for-sale-dhaka-1,"Tk 1,820,000",Honda,Grace,2015,Used,Automatic,"Hybrid, Octane","82,000 km"
https://bikroy.com/en/ad/toyota-axio-ex-showroom-ready-2020-for-sale-dhaka-1,"Tk 2,350,000",Toyota,Axio,2020,Reconditioned,Automatic,Hybrid,"137,000 km"
https://bikroy.com/en/ad/toyota-esquire-g-2015-for-sale-dhaka,"Tk 2,200,000",Toyota,Esquire,2015,Used,Automatic,"Hybrid, Octane","68,067 km"
https://bikroy.com/en/ad/mg-hs-2021-for-sale-dhaka-20,"Tk 3,500,000",MG,HS,2021,Used,Automatic,Petrol,"16,000 km"
https://bikroy.com/en/ad/nissan-x-trail-2017-for-sale-dhaka-354,"Tk 2,370,000",Nissan,X-Trail,2017,Used,Automatic,Octane,"67,500 km"
https://bikroy.com/en/ad/toyota-axio-2015-for-sale-khulna-division-4,"Tk 1,550,000",Toyota,Axio,2015,Used,Automatic,Octane,"160,000 km"
https://bikroy.com/en/ad/toyota-allion-2014-for-sale-dhaka-919,"Tk 2,500,000",Toyota,Allion,2014,Used,Automatic,"Petrol, Octane, LPG","43,000 km"
https://bikroy.com/en/ad/toyota-axio-registration-2017-2012-for-sale-dhaka,"Tk 1,600,000",Toyota,Axio,2012,Used,Automatic,"CNG, Octane","60,000 km"
https://bikroy.com/en/ad/toyota-ist-2003-for-sale-dhaka-1031,"Tk 820,000",Toyota,ist,2003,Used,Automatic,Octane,"85,000 km"
https://bikroy.com/en/ad/toyota-ist-push-start-octne-drv-2010-for-sale-chattogram,"Tk 1,380,000",Toyota,ist,2010,Used,Automatic,Octane,"86,000 km"
https://bikroy.com/en/ad/toyota-starlet-soleil-reflect-1998-for-sale-khulna-division,"Tk 595,000",Toyota,Starlet Soleil,1998,Used,Automatic,LPG,"175,000 km"
https://bikroy.com/en/ad/toyota-sienta-g-neuro-octane-wine-2020-for-sale-dhaka-3,"Tk 2,850,000",Toyota,Sienta,2020,Reconditioned,Automatic,"Hybrid, Octane","22,868 km"
https://bikroy.com/en/ad/honda-grace-ex-sensine-new-sape-2017-for-sale-dhaka,"Tk 2,250,000",Honda,Grace,2017,Used,Automatic,Hybrid,"42,150 km"
https://bikroy.com/en/ad/mitsubishi-outlandar-2010-for-sale-dhaka-122,"Tk 2,600,000",Mitsubishi,Outlandar,2010,Used,Automatic,Octane,"151,575 km"
https://bikroy.com/en/ad/toyota-esquire-gi-2016-for-sale-dhaka-3,"Tk 2,200,000",Toyota,Esquire,2016,Used,Automatic,"Hybrid, Octane","124,400 km"
https://bikroy.com/en/ad/toyota-fielder-saloon-car-2010-for-sale-dhaka-1,"Tk 1,535,000",Toyota,Fielder,2010,Used,Automatic,"Octane, LPG","120,000 km"
https://bikroy.com/en/ad/kia-sportage-2016-for-sale-dhaka-1,"Tk 1,450,000",Kia,Sportage,2016,Used,Automatic,"Octane, LPG","20,000 km"
https://bikroy.com/en/ad/toyota-corolla-2004-for-sale-dhaka-2085,"Tk 1,250,000",Toyota,Corolla,2004,Used,Automatic,"CNG, Octane","150,000 km"
https://bikroy.com/en/ad/toyota-hiace-2013-for-sale-dhaka-96,"Tk 2,650,000",Toyota,Hiace,2013,Used,Automatic,Petrol,"50,000 km"
https://bikroy.com/en/ad/honda-civic-2017-for-sale-dhaka-34,"Tk 3,190,000",Honda,Civic,2017,Used,Automatic,Petrol,"31,000 km"
https://bikroy.com/en/ad/toyota-axio-g-2017-for-sale-chattogram,"Tk 2,025,000",Toyota,Axio,2017,Used,Automatic,"Hybrid, Octane","69,000 km"
https://bikroy.com/en/ad/toyota-noah-2014-for-sale-dhaka-395,"Tk 2,050,000",Toyota,Noah,2014,Used,Automatic,"Petrol, Hybrid, Octane","101,000 km"
https://bikroy.com/en/ad/kia-sportage-2006-2006-for-sale-dhaka,"Tk 950,000",Kia,Sportage,2006,Used,Automatic,Octane,"100,000 km"
https://bikroy.com/en/ad/toyota-allion-ttyyttaa-eliyyaan-kaar-2005-for-sale-dhaka,"Tk 1,420,000",Toyota,Allion,2005,Used,Automatic,"CNG, Octane","92,000 km"
https://bikroy.com/en/ad/toyota-axio-g-2011-for-sale-dhaka-561,"Tk 1,520,000",Toyota,Axio,2011,Used,Automatic,"CNG, Octane","67,075 km"
https://bikroy.com/en/ad/toyota-aqua-x-urban-2015-for-sale-dhaka-11,"Tk 1,430,000",Toyota,Aqua,2015,Used,Automatic,Hybrid,"114,000 km"
https://bikroy.com/en/ad/toyota-voxy-hybrid-2019-for-sale-dhaka-38,"Tk 2,980,000",Toyota,Voxy,2019,Used,Automatic,"Petrol, Octane","68,000 km"
https://bikroy.com/en/ad/toyota-c-hr-g-ledshowroom-ready-2020-for-sale-dhaka-3,"Tk 3,650,000",Toyota,C-HR,2020,Reconditioned,Automatic,Hybrid,"39,000 km"
https://bikroy.com/en/ad/toyota-noah-2016-for-sale-dhaka-117,"Tk 2,950,000",Toyota,Noah,2016,Used,Automatic,"Hybrid, Octane","98,000 km"
https://bikroy.com/en/ad/toyota-corolla-x-2005-for-sale-dhaka-5931,"Tk 1,265,000",Toyota,Corolla,2005,Used,Automatic,"CNG, Octane","145,000 km"
https://bikroy.com/en/ad/honda-jade-hybrid-sensing-2016-for-sale-dhaka,"Tk 2,450,000",Honda,Jade,2016,Used,Automatic,"Hybrid, Octane","80,000 km"
https://bikroy.com/en/ad/toyota-corolla-x-new-shape-2006-for-sale-dhaka-20,"Tk 1,280,000",Toyota,Corolla,2006,Used,Automatic,"Petrol, CNG","61,530 km"
https://bikroy.com/en/ad/toyota-premio-2015-for-sale-dhaka-771,"Tk 2,890,000",Toyota,Premio,2015,Used,Automatic,Octane,"50,000 km"
https://bikroy.com/en/ad/toyota-allion-siddaan-2013-for-sale-dhaka,"Tk 2,200,000",Toyota,Allion,2013,Used,Automatic,"Petrol, Octane","56,000 km"
https://bikroy.com/en/ad/nissan-x-trail-hybrid-2018-for-sale-sylhet-1,"Tk 3,250,000",Nissan,X-Trail,2018,Used,Automatic,"Petrol, Hybrid, Octane","55,000 km"
https://bikroy.com/en/ad/toyota-corolla-g-2001-for-sale-dhaka-595,"Tk 950,000",Toyota,Corolla,2001,Used,Automatic,"CNG, Octane","119,895 km"
https://bikroy.com/en/ad/toyota-corolla-g-filder-2004-for-sale-dhaka-1,"Tk 1,150,000",Toyota,Corolla,2004,Used,Automatic,"CNG, Octane","104,995 km"
https://bikroy.com/en/ad/toyota-allion-a15-push-start-2012-for-sale-dhaka-4,"Tk 2,370,000",Toyota,Allion,2012,Used,Automatic,Octane,"58,359 km"
https://bikroy.com/en/ad/honda-airwave-2006-for-sale-dhaka-8,"Tk 1,000,000",Honda,Airwave,2006,Used,Automatic,"Octane, LPG","179,000 km"
https://bikroy.com/en/ad/toyota-allion-x-edition-2004-for-sale-dhaka-1,"Tk 1,290,000",Toyota,Allion,2004,Used,Automatic,"Octane, LPG","105,236 km"
https://bikroy.com/en/ad/toyota-noah-2010-for-sale-dhaka-520,"Tk 1,910,000",Toyota,Noah,2010,Used,Automatic,"CNG, Octane","75,000 km"
https://bikroy.com/en/ad/toyota-aqua-g-2013-for-sale-dhaka-358,"Tk 1,325,000",Toyota,Aqua,2013,Used,Automatic,"Hybrid, Octane","61,000 km"
https://bikroy.com/en/ad/toyota-aqua-g-push-2013-for-sale-chattogram,"Tk 1,095,000",Toyota,Aqua,2013,Used,Automatic,"Hybrid, Octane","79,000 km"
https://bikroy.com/en/ad/toyota-prius-g-package-2013-for-sale-dhaka,"Tk 1,580,000",Toyota,Prius,2013,Used,Automatic,Hybrid,"70,000 km"
https://bikroy.com/en/ad/toyota-harrier-z-leather-panoramic-2023-for-sale-khulna,"Tk 9,500,000",Toyota,Harrier,2023,Reconditioned,Automatic,"Petrol, Hybrid, Octane","5,277 km"
https://bikroy.com/en/ad/toyota-noah-sz-pearl-new-shape-2022-for-sale-khulna,"Tk 4,800,000",Toyota,Noah,2022,Reconditioned,Automatic,"Petrol, Hybrid, Octane","56,072 km"
https://bikroy.com/en/ad/toyota-sienta-hybrid-x-2020-for-sale-dhaka-24,"Tk 2,350,000",Toyota,Sienta,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","68,154 km"
https://bikroy.com/en/ad/toyota-aqua-hybrid-l-2020-for-sale-dhaka-9,"Tk 1,700,000",Toyota,Aqua,2020,Reconditioned,Automatic,"Petrol, Hybrid","93,560 km"
https://bikroy.com/en/ad/toyota-c-hr-g-led-two-tone-360-2019-for-sale-dhaka,"Tk 3,400,000",Toyota,C-HR,2019,Reconditioned,Automatic,Hybrid,"31,367 km"
https://bikroy.com/en/ad/toyota-probox-dx-silver-color-2020-for-sale-khulna,"Tk 2,070,000",Toyota,Probox,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","107,258 km"
https://bikroy.com/en/ad/toyota-c-hr-g-mode-nero-hybrid-2020-for-sale-khulna-1,"Tk 3,400,000",Toyota,C-HR,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","86,600 km"
https://bikroy.com/en/ad/toyota-premio-fl-led-package-2020-for-sale-dhaka-1,"Tk 4,050,000",Toyota,Premio,2020,Reconditioned,Automatic,Octane,"48,766 km"
https://bikroy.com/en/ad/toyota-c-hr-g-led-2020-for-sale-khulna-19,"Tk 3,450,000",Toyota,C-HR,2020,Reconditioned,Automatic,Hybrid,"47,521 km"
https://bikroy.com/en/ad/toyota-axio-ex-pkg-hybrid-2020-for-sale-khulna,"Tk 2,450,000",Toyota,Axio,2020,Reconditioned,Automatic,Hybrid,100 km
https://bikroy.com/en/ad/toyota-prius-a-grey-4-87000-km-2019-for-sale-chattogram,"Tk 3,100,000",Toyota,Prius,2019,Reconditioned,Automatic,Hybrid,"87,000 km"
https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-ap-s-2025-for-sale-khulna,"Tk 5,650,000",Toyota,Corolla Cross,2025,Reconditioned,Automatic,Hybrid,4 km
https://bikroy.com/en/ad/toyota-noah-s-z-new-shape-hybrid-2023-for-sale-khulna-2,"Tk 5,430,000",Toyota,Noah,2023,Reconditioned,Automatic,Hybrid,"11,000 km"
https://bikroy.com/en/ad/toyota-axio-ex-packge-hybrid-2020-for-sale-khulna,"Tk 2,450,000",Toyota,Axio,2020,Reconditioned,Automatic,Hybrid,100 km
https://bikroy.com/en/ad/honda-civic-ex-2018-for-sale-khulna,"Tk 3,400,000",Honda,Civic,2018,Reconditioned,Automatic,"Petrol, Octane","80,000 km"
https://bikroy.com/en/ad/toyota-esquire-gi-non-hybrid-2020-for-sale-dhaka-16,"Tk 4,400,000",Toyota,Esquire,2020,Reconditioned,Automatic,Octane,"55,000 km"
https://bikroy.com/en/ad/toyota-noah-g-hybrid-45-2021-for-sale-khulna,"Tk 3,700,000",Toyota,Noah,2021,Reconditioned,Automatic,"Petrol, Hybrid, Octane","40,600 km"
https://bikroy.com/en/ad/toyota-fielder-ex-hybrid-ready-2020-for-sale-khulna,"Tk 2,300,000",Toyota,Fielder,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","40,125 km"
https://bikroy.com/en/ad/toyota-esquire-gi-mblue-35-53k-km-2020-for-sale-chattogram,"Tk 4,500,000",Toyota,Esquire,2020,Reconditioned,Automatic,Petrol,"53,000 km"
https://bikroy.com/en/ad/toyota-corolla-cross-z-2020-for-sale-dhaka-3,"Tk 4,350,000",Toyota,Corolla Cross,2020,Reconditioned,Automatic,Hybrid,"49,000 km"
https://bikroy.com/en/ad/lexus-rx-450h-2021-for-sale-dhaka,"Tk 11,500,000",Lexus,RX,2021,Used,Automatic,"Hybrid, Octane","2,022 km"
https://bikroy.com/en/ad/toyota-fielder-ex-package-nonhybrid-2020-for-sale-dhaka-1,"Tk 2,800,000",Toyota,Fielder,2020,Reconditioned,Automatic,"Petrol, Octane","68,794 km"
https://bikroy.com/en/ad/toyota-hiace-gl-4-point-2021-for-sale-dhaka,"Tk 3,600,000",Toyota,Hiace,2021,Reconditioned,Automatic,"Octane, Other fuel type","70,111 km"
https://bikroy.com/en/ad/toyota-sienta-4-black-2019-for-sale-dhaka,"Tk 2,700,000",Toyota,Sienta,2019,Reconditioned,Automatic,"Hybrid, Octane","105,000 km"
https://bikroy.com/en/ad/toyota-noah-hybrid-2020-for-sale-dhaka-51,"Tk 3,050,000",Toyota,Noah,2020,Reconditioned,Automatic,Hybrid,"73,298 km"
https://bikroy.com/en/ad/toyota-axio-ex-non-hybrid-2020-for-sale-dhaka-105,"Tk 2,900,000",Toyota,Axio,2020,Reconditioned,Automatic,Petrol,"28,000 km"
https://bikroy.com/en/ad/toyota-c-hr-g-2020-for-sale-khulna-11,"Tk 3,400,000",Toyota,C-HR,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","67,850 km"
https://bikroy.com/en/ad/toyota-corolla-hybrid-s-2020-for-sale-dhaka-53,"Tk 2,500,000",Toyota,Corolla,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane, Other fuel type","56,000 km"
https://bikroy.com/en/ad/toyota-voxy-x-2020-for-sale-dhaka-9,"Tk 3,200,000",Toyota,Voxy,2020,Reconditioned,Automatic,"Petrol, Octane","78,954 km"
https://bikroy.com/en/ad/toyota-corolla-hybrid-s-2020-for-sale-dhaka-54,"Tk 2,450,000",Toyota,Corolla,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane, Other fuel type","91,000 km"
https://bikroy.com/en/ad/toyota-esquire-gi-premium-2020-for-sale-khulna-99,"Tk 3,820,000",Toyota,Esquire,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","85,932 km"
https://bikroy.com/en/ad/toyota-hiace-gl-dual-ac-2020-for-sale-khulna-24,"Tk 2,800,000",Toyota,Hiace,2020,Reconditioned,Automatic,"Petrol, Octane","64,258 km"
https://bikroy.com/en/ad/toyota-noah-g-2d-power-2020-for-sale-khulna,"Tk 3,160,000",Toyota,Noah,2020,Reconditioned,Automatic,"Petrol, Hybrid, Octane","92,320 km"
https://bikroy.com/en/ad/toyota-hiace-gl-dual-ac-2021-for-sale-khulna,"Tk 2,920,000",Toyota,Hiace,2021,Reconditioned,Automatic,"Petrol, Octane","69,395 km"
