price,brand,model,year,condition,transmission,fuel_type,kilometers_run,age,km_per_year
4590000,toyota,premio,2020,reconditioned,automatic,petrol,37000,5,7400.0
3020000,toyota,c-hr,2019,reconditioned,automatic,hybrid,45000,6,7500.0
3550000,toyota,noah,2020,reconditioned,automatic,hybrid,56200,5,11240.0
2880000,toyota,axio,2020,reconditioned,automatic,petrol,61971,5,12394.2
4390000,honda,insight,2021,reconditioned,automatic,hybrid,15624,4,3906.0
3770000,toyota,esquire,2020,reconditioned,automatic,hybrid,90000,5,18000.0
2690000,toyota,axio,2019,reconditioned,automatic,petrol,91340,6,15223.333333333334
5320000,honda,cr-v,2019,reconditioned,automatic,hybrid,63000,6,10500.0
4392000,toyota,hiace,2021,reconditioned,automatic,"petrol, octane",89652,4,22413.0
2660000,toyota,fielder,2020,reconditioned,automatic,hybrid,55209,5,11041.8
4900000,toyota,voxy,2022,reconditioned,automatic,"hybrid, octane",43590,3,14530.0
3450000,toyota,yaris cross,2021,reconditioned,automatic,hybrid,91000,4,22750.0
2400000,toyota,fielder,2020,reconditioned,automatic,hybrid,111000,5,22200.0
2150000,honda,vezel,2015,used,automatic,"diesel, petrol",70000,10,7000.0
2300000,toyota,fielder,2020,reconditioned,automatic,"petrol, hybrid, octane",63200,5,12640.0
4050000,toyota,noah,2019,reconditioned,automatic,octane,63591,6,10598.5
1785000,toyota,premio,2005,used,automatic,"octane, lpg",69000,20,3450.0
3350000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",57000,5,11400.0
3300000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",93602,5,18720.4
3350000,toyota,hiace,2020,reconditioned,automatic,octane,96129,5,19225.8
2480000,toyota,fielder,2020,reconditioned,automatic,"hybrid, octane",90129,5,18025.8
3750000,toyota,esquire,2019,reconditioned,automatic,"petrol, octane",116309,6,19384.833333333332
3780000,toyota,rush,2021,used,automatic,octane,46200,4,11550.0
5000000,toyota,rav4,2020,reconditioned,automatic,hybrid,67000,5,13400.0
3640000,toyota,yaris cross,2021,reconditioned,automatic,"petrol, hybrid, octane",60939,4,15234.75
4600000,toyota,corolla cross,2021,reconditioned,automatic,hybrid,15000,4,3750.0
3200000,toyota,voxy,2020,reconditioned,automatic,"hybrid, octane",84000,5,16800.0
1550000,nissan,x-trail,2009,used,automatic,octane,104885,16,6555.3125
2800000,toyota,axio,2019,reconditioned,automatic,"petrol, octane",100000,6,16666.666666666668
5800000,nissan,x-trail,2022,reconditioned,automatic,"hybrid, octane",39000,3,13000.0
4700000,toyota,corolla cross,2022,reconditioned,automatic,"petrol, hybrid, octane",50000,3,16666.666666666668
3900000,nissan,x-trail,2020,reconditioned,automatic,"petrol, hybrid, octane",41013,5,8202.6
3750000,toyota,noah,2020,reconditioned,automatic,"petrol, octane",65013,5,13002.6
4410000,toyota,premio,2019,reconditioned,automatic,octane,71715,6,11952.5
4150000,nissan,x-trail,2018,reconditioned,automatic,hybrid,61696,7,8813.714285714286
2700000,toyota,axio,2020,reconditioned,automatic,"petrol, octane",51000,5,10200.0
